id	year	author	title	tags	link
000000874	1676	Remaʿ.	A Warning to the inhabitants of England, and London in particular ... By M. A. [i.e. Mary Adams.]
000001143	1679	A., T.	A Satyr against Vertue. (A poem: supposed to be spoken by a Town-Hector. [By John Oldham. The preface signed: T. A.])
000051983	1659	ALIMONY, Lady	Lady Alimony; or, the Alimony Lady. An excellent pleasant new comedy, etc. [In verse and prose. By Thomas Lodge and Robert Greene?]
000059805	1623	ALMANSA Y MENDOZA, Andrés de.	Two Royall Entertainments, lately given to ... Charles, Prince of Great Britaine, by ... Philip the fourth, King of Spaine ... Translated out of the Spanish originals [beginning “A Doña Vitoria Colona,” and “A la Villa de Madrid” respectively], etc
000075704	1694	DAWES, William	Anatomy of Atheisme: a poem. By a person of quality [i.e. William Dawes, afterwards Archbishop of York]
000106622	1633	ARDEN, Thomas	Lamentable and True Tragedy of Master Arden of Feversham in Kent; who was most wickedly murdered by the meanes of his disloyall and wanton wife; who, for the love she bare to one Mosby, hired two desperate ruffins, Blacke-Will, and Shakebag, to kill him. [In verse.]
000109780	1696	ARIADNE, pseud.	She Ventures, and He Wins. A comedy ... Writen by a Young Lady. [The preface signed: Ariadne.]
000111406	1651	J., F.	Πλουτοφθαλμια πλουτογαμια. A pleasant comedie, entituled Hey for Honesty, Down with Knavery. Translated out of Aristophanes his Plutus, by Tho: Randolph. Augmented and published by F. J. [i.e. F. Jaques or Jacques?]
000159302	1647	Brewer, Anthony	Countrie Girle. A comedie ... [In verse.] By T. B
000188917	1679	BANCROFT, John	Tragedy of Sertorius, etc. [In verse.]
000190864	1685	BANKS, John	[The Unhappy Favourite: or, the Earl of Essex. A tragedy. [Inverse.] etc.]
000190878	1692	BANKS, John	[Vertue Betray'd: or, Anna Bullen. A tragedy, etc. [In verse.]]
000211229	1681	BARRISTER-AT-LAW	A Vote for Moderate Counsels ... An ode, by a Barrister at Law
000215595	1649	BARTHOLOMEW FAIRING	A Bartholomew Fairing, new, new, new: sent from the raised siege before Dublin as a preparatory present to the great thanksgiving day. To be communicated onely to Independents. [A satirical drama, chiefly in prose.]
000241254	1640	BEAUMONT, Francis.	Poems ... viz. The Hermaphrodite. The Remedie of Love. Elegies. Sonnets, with other poems
000241263	1679	BEAUMONT, Francis	[Comedies and Tragedies ... Never printed before, and now published by the authours originall copies. [With a portrait of Fletcher.]]
000241326	1630	BEAUMONT, Francis	Cupids Revenge ... Written by Fran. Beaumont &amp; Io. Fletcher, Gentlemen ... The second edition
000241330	1651	BEAUMONT, Francis	Elder Brother: a Comedie ... Written by F. Beaumont and J. Fletcher [or more probably written by Fletcher, and revised by Massinger] ... The second edition, corrected and amended
000241331	1678	BEAUMONT, Francis	[The Elder Brother: a Comedie ... Written by F. Beaumont and J. Fletcher [or more probably written by Fletcher, and revised by Massinger] ... The second edition, corrected and amended.]
000241337	1687	BEAUMONT, Francis	Island-Princess ... [Here attributed to Beaumont and Fletcher, but more probably by Fletcher alone.] Reviv'd with alterations. By N. Tate. Gent
000241341	1631	BEAUMONT, Francis	[A king and no king. London 1619.]
000241342	1639	BEAUMONT, Francis	[A king and no king. London 1619.]
000241345	1676	BEAUMONT, Francis	[A king and no king. London 1619.]
000241362	1635	BEAUMONT, Francis	[The knight of the burning pestle.]
000241385	1638	BEAUMONT, Francis	revised and refined. [With a woodcut.]
000241387	1650	BEAUMONT, Francis	revised, etc. [With a woodcut.]
000241403	1634	BEAUMONT, Francis	[Philaster, 1622.]
000241404	1639	BEAUMONT, Francis	[Philaster, 1622.]
000241406	1661	BEAUMONT, Francis	[Philaster, 1622.]
000241411	1695	BEAUMONT, Francis	Philaster ... Revis'd, and the two last acts new written [by Elkanah Settle]
000241456	1625	BEAUMONT, Francis	[The Scornful Ladie ... 1616.]
000241461	1677	BEAUMONT, Francis	[The Scornful Ladie ... 1616.]
000241462	1691	BEAUMONT, Francis	[The Scornful Ladie ... 1616.]
000241474	1648	BEAUMONT, Francis	[The Tragedy of Thierry King of France, and his Brother Theodoret, etc. [By F. Beaumont and J. Fletcher, and probably revised by Massinger.] [In five acts and in verse.]]
000241480	1639	BEAUMONT, Francis	Wit without Money. A comedie ... Written by F. Beamount [sic], and J. Flecher, Gent. [or rather, by Fletcher alone]
000241480	1639	BEAUMONT, Francis	Wit without Money. A comedie ... Written by F. Beamount [sic], and J. Flecher, Gent. [or rather, by Fletcher alone]
000241487	1648	BEAUMONT, Francis	[The Woman Hater [a comedy, in five acts, in prose and verse; by J. Fletcher and F. Beaumont?].]
000242317	1685	BEAUTY	Mistaken Beauty, or, the Lyar. A comedy. [A translation of P. Corneille's “Le Menteur.”]
000248501	1679	BEDLOE, William.	Excommunicated Prince: or, the False relique. A tragedy. As it was acted by His Holiness's servants. Being the Popish Plot in a play. [In verse.]
000252167	1682	Behn, Aphra	City-Heiress: or, Sir Timothy Treat-all. A comedy
000252168	1698	Behn, Aphra	[The City-Heiress: or, Sir Timothy Treat-all. A comedy.]
000252173	1673	Behn, Aphra	Dutch Lover: a comedy ... Written by Mrs. A. Bhen [sic]
000252175	1688	Behn, Aphra	[[The] Emperor of the Moon: a farce, etc.]
000252181	1671	Behn, Aphra	Forc'd Marriage; or, the Jealous Bridegroom; a tragi-comedy. [In verse.]
000252185	1687	Behn, Aphra	Lucky Chance, or an Alderman's Bargain. A comedy
000252187	1688	Behn, Aphra	Lycidus: or the Lover in Fashion. Being an account from Lycidus to Lysander of his Voyage from the Island of Love. From the French. By the same author of the Voyage to the Isle of Love [i.e. A. Behn]. Together with a miscellany of new poems. By several hands. [Many of the poems by A. Behn, and the dedication signed by her.]
000252208	1682	Behn, Aphra	Roundheads; or, the Good Old Cause, a comedy
000252210	1677	Behn, Aphra	Rover, or, the Banish't Cavaliers. [A comedy in five acts and in prose, by Aphara Behn. Part the first.]
000252222	1681	Behn, Aphra	second part of The Rover. [A comedy.]
000252228	1690	Behn, Aphra	Widdow Ranter, or, the History of Bacon in Virginia. A tragi-comedy. [The editor's preface signed: G. J.]
000252232	1696	Behn, Aphra	Younger Brother: or, the Amorous Jilt. A comedy ... Written by the late ingenious Mrs. A. Behn. With some account of her life. [Edited, with alterations and a memoir, by Charles Gildon.]
000412069	1644	BOOKER, John	No Mercurius Aquaticus, but a Cable-rope double twisted for Iohn Tayler, the Water-Poet, etc. [In answer to Taylor's “No Mercurius Aulicus.”]
000413643	1670	BOOTHBY, Frances.	Marcelia: or, the Treacherous Friend. A tragicomedy, etc
000427453	1661	BOTTOM, the Weaver	Merry conceited Humors of Bottom the Weaver. As it hath been often publikely acted, etc. [Adapted from the comic scenes of Shakespeare's Midsummer Night's Dream.]
000439737	1607	BOWES, Jerome	A True report of the horrible Murther [of Joan Wilson], which was committed in the house of Sir Ierome Bowes Knight, on the 20. day of February ... 1606 [by Edward Wilson and Robert Tetherton]. With the apprehension, detection and execution of the offenders
000444030	1672	Orrery, Roger Boyle	Two New Tragedies. The Black Prince, and Tryphon, etc
000444032	1693	Orrery, Roger Boyle	Guzman. A comedy, etc
000444036	1669	Orrery, Roger Boyle	[The history of Henry the Fifth ... 1668. A facsimile published by Cornmarket Press from the copy in the Birmingham Shakespeare Library.]
000444038	1690	Orrery, Roger Boyle	History of Henry the Fifth. And the Tragedy of Mustapha, son of Solyman the Magnificent, etc
000470041	1677	BRIDEGROOM	Counterfeit Bridegroom: or, the Defeated widow. A comedy, as it is acted at His Royal Highness the Duke's Theatre. [In verse. An adaptation, sometimes attributed to Thomas Betterton, of “No Wit, No Help like a Woman,” by Thomas Middleton.]
000484318	1657	BROME, Richard.	Queenes Exchange, a comedy, etc. [In verse. Edited by H. Brome.]
000484320	1640	BROME, Richard.	Sparagus Garden: a comedie. [In verse.]
000515955	1635	BUCK, George.	Great Plantagenet. Or, a Continued succession of that royall name, from Henry the Second, to our Sacred Soveraigne King Charles. By Geo. Buck Gent. [or rather, written by Sir George Buck, and edited with additions and alterations by George Buck]
000559689	1683	C., C.	Sylla's Ghost: a satyr against ambition, and the last horrid plot. [In verse. The dedication signed: C. C.]
000560363	1661	C., I.	[A Pleasant Comedie, called The Two Merry Milke-Maids. Or, the Best words weare the garland. By I. C.]
000607025	1629	Carlell, Lodowick	Deserving Favorite. [A tragi-comedy.]
000607815	1689	CARLILE, James	Fortune-Hunters: or, Two Fools well met; a comedy, etc
000613390	1665	CARPENTER, Richard	A new Play call'd the Pragmatical Jesuit Newleven'd. A comedy. [With a portrait.]
000622839	1664	CARY, Henry	Mariage Night. [A comedy.]
000623044	1671	CARYL, John.	Sir Salomon; or, The Cautious Coxcomb; a comedy. [In five acts and in prose. By J. Caryl.]
000631705	1696	CASTRO, Inez de.	Agnes de Castro, a tragedy ... Written by a Young Lady [i.e. Catherine Trotter, afterwards Cockburn]
000640336	1677	CAVENDISH, William	Humorous Lovers. A comedy
000640346	1677	CAVENDISH, William	Triumphant Widow, or the Medley of humours. A comedy
000653999	1640	CHAMBERLAIN, Robert	Swaggering Damsell. A comedy. Written by R. C. (Rob. Chamberlaine.)
000654087	1658	CHAMBERLAINE, William	Loves Victory: a tragi-comedy. [In prose and verse.]
000660893	1625	Chapman, George	[The Conspiracie, and Tragedie of Charles Duke of Byron, Marshall of France. Acted lately in two playes, etc.]
000660920	1612	Chapman, George	Widdowes Teares. A comedie ... Written by Geor. Chap. (G. Chapman.)
000660938	1639	Chapman, George	Tragedie of Chabot Admirall of France: as it was presented by her Majesties servants, at the private house in Drury Lane. Written by George Chapman, and James Shirly
000660943	1639	Chapman, George	Ball. A comedy, as it was presented by her Majesties servants, at the private house in Drury Lane. Written by George Chapman, and James Shirly
000665415	1665	Charles	Bellum Belgicum secundum, or, a Poem attempting something on his Majesties proceedings against the Dutch
000665607	1682	Charles	An Heroick Poem to the King, upon the Arrival of the Morocco and Bantam Embassadors, to His Majesty of Great Britain, in the year 1682
000665621	1684	Charles	A Poem upon the New Marble Statue of His Present Majesty, erected in the Royal Exchange: by the Society of Merchants Adventurers of England: together with a copy of the inscription upon the pedestall
000674863	1671	WILSON, John	[The Cheats. A comedy. Written in the year, M.DC.LXII. [By John Wilson.]]
000674864	1684	WILSON, John	[The Cheats. A comedy. Written in the year, M.DC.LXII. [By John Wilson.]]
000686807	1662	BRATHWAIT, Richard.	Chimneys Scuffle. [A satire, in verse. By Richard Brathwait?]
000705182	1651	Cicero, Marcus Tullius.	Tragedy of that famous Roman Oratour Marcus Tullius Cicero. [In verse.]
000716174	1666	CLARKE, Thomas	Meditations in my Confinement when my House was visited with the Sickness: in April, May and June, 1666, etc. [In verse.]
000718516	1634	CLAVELL, John.	[A Recantation of an ill led Life. Or a Discouerie of the High-way Law. With vehement disswasions to all, in that kind, offenders. As also many cautelous admonitions and full instructions, how to know, shun, and apprehend a theefe, etc. [In verse.]]
000724435	1646	CLERMONT DE BUSSY D'AMBOISE, Louis de.	Bussy d'Ambois: a tragedie, etc
000724436	1657	CLERMONT DE BUSSY D'AMBOISE, Louis de.	[Bussy D'Ambois: a tragedie, etc. [By George Chapman.]]
000735632	1662	EVANS	Coffee Scuffle, occasioned by a contest between a learned Knight, and a pitifull pedagogue. With the character of a Coffee-House. [With a MS. note, “This is thought to be made by one Woolnoth on Evans a schoole mr &amp; Sir James Langham.”]
000738456	1657	COKAYNE, Aston	Obstinate Lady; a new comedy, etc
000744696	1693	SAUNDERS, Francis.	A Collection of Poems by Several Hands. Most of them written by persons of eminent quality. [With a preface by the publisher, F. Saunders.]
000744786	1689	COLLECTION	fourth - and last - collection of poems, satyrs, songs &amp;c
000756234	1605	COMEDY	[A Pleasant conceited Comedie, Wherein is shewed how a man may chuse a good Wife from a bad. As it hath bene sundry times acted by the Earle of Worcesters Seruants. [Attributed in a MS. note on the titlepage to Joshua Cooke.]]
000756236	1630	COMEDY	[A Pleasant conceited Comedie, Wherein is shewed how a man may chuse a good Wife from a bad. As it hath bene sundry times acted by the Earle of Worcesters Seruants. [Attributed in a MS. note on the titlepage to Joshua Cooke.]]
000769055	1675	PAYNE, Henry Neville.	Siege of Constantinople; a tragedy, etc. [In verse. By Henry Neville Payne.]
000787341	1671	CORNEILLE, Pierre.	Horace, a French tragedy ... Englished by Charles Cotton
000787512	1654	CORNEILLE, Thomas.	Extravagant Sheepherd. A Pastorall comedie ... Englished by T. R. [i.e. Thomas Rawlins?]
000792658	1672	CORYE, John	Generous Enemies or the Ridiculous Lovers. A comedy. As it is acted at the Theatre Royal by His Majesties Servants
000797511	1596	COTTON, Roger.	A Spirituall Song: conteining an Historicall Discourse from the infancie of the world, vntill this present time: setting downe the treacherous practises of the wicked, against the children of God, etc
000799696	1679	Leanerd, John	Counterfeits, a comedy. As it is Acted at the Duke's Theatre. [By John Leanerd.]
000805379	1681	COWLEY, Abraham.	[The Works of Mr Abraham Cowley. Consisting of those which were formerly printed: and those which he design'd for the press, now published out of the authors original copies. [Edited, with an account of the life and writings of Cowley, by Thomas Sprat, Bishop of Rochester. With a portrait by W. Faithorne.]]
000805381	1668	COWLEY, Abraham.	[The Works of Mr Abraham Cowley. Consisting of those which were formerly printed: and those which he design'd for the press, now published out of the authors original copies. [Edited, with an account of the life and writings of Cowley, by Thomas Sprat, Bishop of Rochester. With a portrait by W. Faithorne.]]
000805386	1681	COWLEY, Abraham.	Second Part of the Works of Mr. Abraham Cowley. Being what was written and published by himself in his younger years. And now reprinted together. The fourth edition. [Consisting of “Poetical Blossomes,” “Love's Riddle” and “Naufragium Joculare.” With portraits.]
000805467	1679	COWLEY, Abraham.	A Poem on the late Civil War
000805491	1675	COWLEY, Abraham.	[The foure ages of England: or, The iron age. With other select poems. Written by Mr. A. Cowley. [The dedication signed: Φιλοκάρλο.]]
000823754	1661	CROMWELL, Oliver	Hells Higher Court of Justice; or, the Triall of the three politick ghosts, viz.: Oliver Cromwell, King of Sweden, and Cardinal Mazarine. [By Henry Nevile?]
000828021	1679	Crown, (John)	Ambitious Statesman, or the Loyal favourite, etc
000828022	1698	Crown, (John)	Caligula. A tragedy, etc
000828024	1683	Crown, (John)	City Politiques. A comedy, etc
000828027	1675	Crown, (John)	Countrey Wit. A comedy, etc
000828033	1688	Crown, (John)	Darius King of Persia. A tragedy, etc
000828034	1677	Crown, (John)	Destruction of Jerusalem by Titus Vespasian. In two parts, etc. Few MS. notes
000828035	1693	Crown, (John)	[The Destruction of Jerusalem by Titus Vespasian. In two parts, etc. Few MS. notes.]
000828037	1690	Crown, (John)	Cnglish [sic] Frier: or, the Town sparks. A comedy, etc
000828040	1672	Crown, (John)	History of Charles the Eighth of France, or the Invasion of Naples by the French, etc
000828041	1680	Crown, (John)	[The History of Charles the Eighth of France, or the Invasion of Naples by the French, etc.]
000828042	1671	Crown, (John)	Juliana, or the Princess of Poland. A tragicomedy, etc
000828043	1694	Crown, (John)	Married Beau or, the Curious impertinent, a comedy, etc
000828044	1680	Crown, (John)	Misery of Civil-War. A tragedy, etc. [Adapted from Shakespeare's “King Henry VI,” pt. II and III.]
000828049	1694	Crown, (John)	Regulus: a tragedy, etc
000828050	1685	Crown, (John)	Sir Courtly Nice: or, It cannot be. A comedy, etc. [Based on “No puede ser” of A. Moreto y Cabaña.]
000840022	1528	CURSIUS, Petrus.	Ro. vrbis excidium. [In verse.]
000848508	1674	D., J.	Mall: or the Modish lovers. A comedy. Acted by His Majesties Servants. [The dedicatory epistle signed: J. D.]
000849202	1678	Duffett, Thomas.	Psyche debauch'd, a comedy, as it was acted at the Theatre-Royal. By T. D. [i.e. Thomas Duffett.]
000849211	1678	D., T.	Fool turn'd Critick: a comedy ... By T. D. Gent. [i.e. Thomas D'Urfey.]
000849614	1655	DABORN, Robert.	Poor-Mans Comfort. A tragi-comedy, etc
000860472	1599	DANIEL, Samuel	Poeticall Essayes of Sam. Danyel. Newly corrected and augmented. [Containing “The First Fowre Bookes of the Civile Wars,” “The fyft Booke of the Civill Warres,” “Musophilus,” “A Letter from Octavia to Marcus Antonius,” “The Tragedie of Cleopatra,” and “The Complaint of Rosamond.”]
000860472	1599	DANIEL, Samuel	Poeticall Essayes of Sam. Danyel. Newly corrected and augmented. [Containing “The First Fowre Bookes of the Civile Wars,” “The fyft Booke of the Civill Warres,” “Musophilus,” “A Letter from Octavia to Marcus Antonius,” “The Tragedie of Cleopatra,” and “The Complaint of Rosamond.”]
000860472	1599	DANIEL, Samuel	Poeticall Essayes of Sam. Danyel. Newly corrected and augmented. [Containing “The First Fowre Bookes of the Civile Wars,” “The fyft Booke of the Civill Warres,” “Musophilus,” “A Letter from Octavia to Marcus Antonius,” “The Tragedie of Cleopatra,” and “The Complaint of Rosamond.”]
000860480	1623	DANIEL, Samuel	Whole Workes of Samuel Daniel Esquire in Poetrie
000860480	1623	DANIEL, Samuel	Whole Workes of Samuel Daniel Esquire in Poetrie
000860480	1623	DANIEL, Samuel	Whole Workes of Samuel Daniel Esquire in Poetrie
000871490	1677	DAVENANT, Charles.	Circe, a tragedy. As it is acted at His Royal Highness the Duke of York's theatre
000871491	1685	DAVENANT, Charles.	[Circe, a tragedy. As it is acted at His Royal Highness the Duke of York's theatre.]
000871536	1630	DAVENANT, William	Cruell Brother. A tragedy, etc. [In verse.]
000871551	1649	DAVENANT, William	Love and Honour ... Presented by His Majesties Servants at the Black-Fryers. [In verse.]
000871560	1639	DAVENANT, William	Salmacida spolia. A masque. Presented by the King and Queenes Majesties, at White-hall, on Tuesday the 21. day of Ianuary 1639. [In verse.]
000871562	1656	DAVENANT, William	Siege of Rhodes made a representation by the art of prospective in scenes, and the story sung in recitative musick, etc. [In verse.]
000871571	1643	DAVENANT, William	Unfortunate Lovers: a tragedie, etc. [In verse.]
000871573	1636	DAVENANT, William	Witts. A comedie, etc. [In verse.]
000871949	1661	Davenport, Robert	City-Night-Cap: or, Crede quod habes, &amp; habes. A tragi-comedy ... As it was acted with great applause, by Her Majesties servants, at the Phœnix in Drury Lane
000871956	1655	DAVENPORT, Robert.	King John and Matilda, a tragedy. As it was acted with great applause by her Majesties servants at the Cock-pit in Drury-lane
000884435	1606	DAY, John	Isle of Guls. As it hath been often played in the blacke Fryars, by the Children of the Reuels
000887633	1677	Behn, Aphra	Debauchee: or, the Credulous cuckold, a comedy, etc. [Adapted by Aphra Behn from Richard Brome's “Mad Couple well matched.”]
000896048	1636	Dekker, Thomas	Wonder of a Kingdome. [A comedy.]
000896061	1607	Dekker, Thomas	North-ward Hoe. Sundry times acted by the children of Paules. By Thomas Decker, and Iohn Webster
000907432	1655	DENHAM, John	[Coopers hill. A poëme. [By Sir John Denham.]]
000927504	1680	DIALOGUE	A dialogue between a Papist and a Quaker
000939576	1697	DILKE, Thomas.	City Lady: or, Folly reclaim'd. A comedy, etc
000939577	1696	DILKE, Thomas.	Lover's Luck: a comedy, etc
000940254	1684	DILLON, Wentworth	An Essay on Translated Verse. [In verse. With laudatory verses byJohn Dryden and others.]
000950396	1698	DISCOVERY	fatal Discovery: or, love in ruines; A tragedy [in five acts and in verse]. With a preface [signed by G. Powell,] in answer to a copy of verses written by Mr. Dryden and prefixt to a play call'd Heroick Love
000960252	1696	DOGGET, Thomas.	Country Wake: a comedy. [In five acts and in prose.]
000964642	1698	DONALDSON, James	A Pick-tooth for Swearers, or a looking-glass for atheists and prophane persons, etc. [In verse. With notes.]
000975453	1667	Dover, John.	Roman Generalls; or, the Distressed Ladies. [A drama, in five acts and in verse.]
000979449	1652	Drake, Francis	[The voyages and travels of that renowned Captain Sir F. Drake into the West Indies, and round about the world, etc.]
000979454	1659	Drake, Francis	History of Sir F. D. Exprest by instrumentall and vocall musick, and by art of perspective in scenes, etc. The first Part. [In six entries or scenes, and in verse. By Sir W. Davenant.]
000980826	1674	DREAM	Comical Dream, or, the Tempest: a mock poem, etc
000987606	1678	Dryden, John.	All for love or, The world well lost. A tragedy, as it is acted at the Theatre-Royal; and written in imitation of Shakespeare's stile
000987649	1673	Dryden, John.	Amboyna: a tragedy. As it is acted at the Theatre-Royal
000987654	1691	Dryden, John.	Amphitryon; or, The two Sosias, etc
000987670	1678	Dryden, John.	[The assignation: or, Love in a nunnery. As it is acted, at the Theatre-Royal.]
000987675	1685	Dryden, John.	[Aureng-Zebe: a tragedy. Acted at the Royal Theatre, etc.]
000987677	1694	Dryden, John.	[Aureng-Zebe: a tragedy. Acted at the Royal Theatre, etc.]
000987687	1688	Dryden, John.	[Britannia rediviva: a poem on the birth of the Prince.]
000987688	1688	Dryden, John.	[Britannia rediviva: a poem on the birth of the Prince.]
000987692	1673	Dryden, John.	[The conquest of Granada by the Spaniards: in two parts. Acted at the Theater-Royall.]
000987700	1690	Dryden, John.	Don Sebastian, King of Portugal: a tragedy acted at the Theatre Royal
000987700	1690	Dryden, John.	Don Sebastian, King of Portugal: a tragedy acted at the Theatre Royal
000987705	1683	Dryden, John.	Duke of Guise. A tragedy. Acted by their Majesties Servants. Written by Mr. Dryden, and Mr. Lee
000987706	1687	Dryden, John.	[The Duke of Guise. A tragedy. Acted by their Majesties Servants. Written by Mr. Dryden, and Mr. Lee.]
000987712	1683	Dryden, John.	vindication: or The parallel of the French Holy-League, and the English League and Covenant, turn'd into a seditious libell against the King and his Royal Highness, by Thomas Hunt and the author of the Reflections upon the pretended parallel in the play called The Duke of Guise. Written by Mr. Dryden
000987716	1687	Dryden, John.	A poem upon the death of the late usurper, Oliver Cromwel. By the author of the H-d and the P-r
000987726	1671	Dryden, John.	An evening's love, or The mock astrologer. Acted at the Theater Royal, by His Majesties Servants
000987728	1691	Dryden, John.	[An evening's love, or The mock astrologer. Acted at the Theater Royal, by His Majesties Servants.]
000987753	1667	Dryden, John.	Indian Emperour, or, The conquest of Mexico by the Spaniards. Being the sequel of the Indian Queen
